,Station,Opened,Type,Line,Latitude,Longitude,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
62,Subaugusta,1980,underground,A,41.8538307,12.5677011,3,3,0,39,6,13,23,4,41,6
63,Teano,2015,underground,C,41.88923,12.551311,3,4,0,29,5,11,11,3,28,8
64,Termini,1955,underground,AB,41.901542,12.500596,20,30,12,192,49,44,55,5,51,93
65,Tiburtina,1990,underground,B,41.910833000000004,12.529444,4,6,1,57,23,14,16,2,32,45
66,Torre Angela,2014,surface,C,41.864318,12.625711,3,1,0,5,4,2,6,2,13,4
67,Torre Gaia,2014,surface,C,41.864084999999996,12.635553999999999,2,4,0,5,3,6,6,1,9,3
68,Torre Maura,2014,underground,C,41.866915999999996,12.596878,1,4,0,11,4,5,5,1,10,4
69,Torre Spaccata,2014,underground,C,41.869,12.5866,3,3,0,12,3,1,6,2,17,5
70,Torrenova,2014,surface,C,41.86332,12.61684,2,0,0,5,4,4,4,1,7,3
71,Valle Aurelia,1999,underground,A,41.903056,12.441667,5,2,2,66,6,18,25,9,29,36
72,Vittorio Emanuele,1980,underground,A,41.894444,12.504167,29,26,10,174,68,37,42,7,43,75
